lr,step,time,train_loss,train_metric,val_loss,val_metric
0.001000,341,4.787200,0.152115,0.152115,0.163290,0.163290
0.001000,342-best,4.760271,0.138251,0.138251,0.161388,0.161388
0.001000,343-best,4.784237,0.146849,0.146849,0.160491,0.160491
0.001000,344-best,4.699434,0.171017,0.171017,0.160408,0.160408
0.001000,345-best,4.806149,0.159524,0.159524,0.160232,0.160232
0.001000,346,4.784231,0.133952,0.133952,0.160739,0.160739
0.001000,347,4.836069,0.155839,0.155839,0.160584,0.160584
0.001000,348,4.822107,0.156973,0.156973,0.161139,0.161139
0.001000,349,4.819114,0.152366,0.152366,0.161650,0.161650
0.001000,350,4.732347,0.191474,0.191474,0.160529,0.160529
0.001000,351,4.794181,0.139377,0.139377,0.160673,0.160673
0.001000,352,4.726362,0.173713,0.173713,0.162409,0.162409
0.001000,353,4.727360,0.116305,0.116305,0.165729,0.165729
0.001000,354,4.769248,0.171259,0.171259,0.167729,0.167729
0.001000,355,4.839062,0.179076,0.179076,0.164177,0.164177
0.001000,356,4.796203,0.163184,0.163184,0.163007,0.163007
0.001000,357,4.691455,0.181151,0.181151,0.161500,0.161500
0.001000,358,4.748305,0.169667,0.169667,0.163765,0.163765
0.001000,359,4.700431,0.131190,0.131190,0.163452,0.163452
0.001000,360,4.790191,0.174392,0.174392,0.162929,0.162929
0.001000,361,4.760271,0.141638,0.141638,0.160963,0.160963
0.001000,362,4.860006,0.134973,0.134973,0.160815,0.160815
0.001000,363,4.826095,0.159465,0.159465,0.160319,0.160319
0.001000,364,4.777226,0.115930,0.115930,0.160391,0.160391
0.001000,365-best,4.717387,0.137448,0.137448,0.158893,0.158893
0.001000,366-best,4.783210,0.152547,0.152547,0.158696,0.158696
0.001000,367,4.731349,0.152607,0.152607,0.160069,0.160069
0.001000,368,4.704422,0.154173,0.154173,0.160339,0.160339
0.001000,369,4.773237,0.164576,0.164576,0.159482,0.159482
0.001000,370-best,4.688463,0.140948,0.140948,0.158386,0.158386
